"","ID","linear.f0","linear.f0.se","linear.f0.p","linear.C0","linear.AIC","linear.AICc","linear.RSE","linear.r","linear.diagnostics"
"131","2021-03-22_RO01_R6",-45.1410118645496,9.42908706457389,2.54230568753802e-06,1.54832419390336,-1252.74741704204,-1252.67512788541,0.0372877849583129,-0.253405808502362,""
"132","2021-03-23_JO01_A1",1.85564136917609,0.183975173261782,5.70135986732299e-21,1.55208455542321,-3531.44903123375,-3531.37403123375,0.0010334331843113,0.489990596209178,""
"133","2021-03-23_JO01_B1",43.2007263467545,9.03718108635714,2.65609307009522e-06,1.51919881097383,-1027.43359325021,-1027.35928984464,0.0499843796728568,0.256307360001518,""
"134","2021-03-23_JO01_C1",4.43356392124759,0.11250066153197,2.00593324229196e-128,1.53279249138573,-4022.90338792352,-4022.83195935209,0.000648501270185613,0.90623772838527,""
"135","2021-03-23_JO01_D1",6.89793180650602,0.189638578952044,1.30415847418413e-116,1.52928828627352,-3541.57962719753,-3541.50532379196,0.00106977736778172,0.895991192295716,""
"136","2021-03-23_JO01_E1",6.93002227807079,0.079393412953942,3.9159387510842e-228,1.54511375099806,-4128.18621678552,-4128.11214271145,0.000444752079824243,0.979269174821522,""
"137","2021-03-23_JO01_F1",5.90638180440006,0.0953869546392812,2.52880236752603e-182,1.54177958000073,-4001.20810449262,-4001.13403041854,0.000539736576097617,0.960019151126111,""
"138","2021-03-23_JO01_R4",-5.80243000598483,0.113406763172623,1.09219353075117e-158,1.53546622204168,-4013.14914634727,-4013.07575185186,0.000560248290643643,-0.942525709003982,""
"139","2021-03-23_JO01_R5",-4.53258691619589,0.141711426912748,1.10963548448521e-104,1.52729661675741,-3899.42016481506,-3899.34936835489,0.00081767397981551,-0.866027125142818,""
"140","2021-03-23_JO01_R6",-1.13582165054798,0.188899327047602,4.70396734324202e-09,1.53006904543498,-3694.45724147861,-3694.38623556145,0.00108515637243049,-0.310025017233675,""
"141","2021-03-23_JO01_R7",-38.4350682482845,7.18071414944013,1.66701441087797e-07,1.56424400284917,-1158.90981418656,-1158.83362371037,0.0390984943480813,-0.287900174143654,""
"142","2021-03-24_AL01_A1",3.47062942838349,0.188264630199019,6.92278977167258e-53,1.53690537175731,-3645.17237940237,-3645.10030733029,0.00107747812661423,0.709639795345992,""
"143","2021-03-24_AL01_B1",-0.587909944317231,0.27466455559768,0.0330542798307757,1.54100473722757,-3326.66713931439,-3326.59351968249,0.00155637687371688,-0.117370534820398,""
"144","2021-03-24_AL01_C1",4.10479960566674,0.146365555911374,6.70596468004064e-89,1.53879996763236,-3723.1250999678,-3723.05102589372,0.000824674050188925,0.840814980510507,""
"145","2021-03-24_AL01_D1",4.00274833231135,0.0975620193229105,8.75473182245959e-131,1.53524364015587,-3988.23699706222,-3988.16292298814,0.000550515013413069,0.915288153011,""
"146","2021-03-24_AL01_E1",3.75826627248755,0.0800722521312956,1.45434657255493e-146,1.53402634482352,-4095.16529300677,-4095.09075884528,0.000450121767251088,0.933693646935952,""
"147","2021-03-24_AL01_R1",5.52893836403115,11.3302399936501,0.626018491346873,1.54366368921009,-632.396055973328,-632.293051681482,0.0631951107725437,0.0318162349248738,""
"148","2021-03-24_AL01_R2",0.0789206922349776,1.50818873225513,0.958299291169749,1.53189092184419,-2189.96057833936,-2189.88650426529,0.00853669540222751,0.00289817476156932,""
"149","2021-03-24_AL01_R3",-0.68212834439005,0.101166872535827,7.0258425820525e-11,1.53716984951377,-3985.01757593534,-3984.94395630344,0.000573991863207861,-0.348902543845486,""
"150","2021-03-24_AL01_R5",-5.12863759890384,0.442401245168424,3.14486184239155e-26,1.5330134812775,-3111.24786431527,-3111.17333015378,0.00203569782557896,-0.541461348570965,""
"151","2021-03-24_AL01_R6",-6.51037116732782,0.0825708392382623,7.89064286632512e-215,1.53315613374959,-4109.27269834674,-4109.19885219289,0.000466569498343242,-0.974693835873916,""
"152","2021-03-24_BU02_A1",NA,NA,NA,NA,NA,NA,NA,NA,"length(t) > 2 is not TRUE"
"153","2021-03-24_BU02_B1",-9.03353523543132,3.51784760678824,0.0131444630569768,1.5734281413584,-564.103252402403,-563.623252402403,0.00125728306002228,-0.335469811224043,""
"154","2021-03-24_BU02_C1",28.1359259763979,4.6181958807599,3.01977129174882e-09,1.5361899297877,-1503.00632259411,-1502.9351059769,0.0265528925597112,0.314142822650036,""
